PU1S1,PU2S1,PU3S1,PU4S1,PU5S1,PU6S1,PEU1S1,PEU2S1,PEU3S1,PEU4S1,PEU5S1,PEU6S1,AU1S1,AU2S1,AU3S1,IU1S1,IU2S1,IU3S1,PU1S2,PU2S2,PU3S2,PU4S2,PU5S2,PU6S2,PEU1S2,PEU2S2,PEU3S2,PEU4S2,PEU5S2,PEU6S2,AU1S2,AU2S2,AU3S2,IU1S2,IU2S2,IU3S2,PU1S3,PU2S3,PU3S3,PU4S3,PU5S3,PU6S3,PEU1S3,PEU2S3,PEU3S3,PEU4S3,PEU5S3,PEU6S3,AU1S3,AU2S3,AU3S3,IU1S3,IU2S3,IU3S3,S1PU,S1PEU,S1AU,S1IU,SCEN1,SCEN2,SCEN3,SCEN_prod,Visual,Vis_max,Complete,PUS1_tot,PUS2_tot,PUS3_tot,PEUS1_tot,PEUS2_tot,PEUS3_tot,AUS1_tot,AUS2_tot,AUS3_tot,IUS1_tot,IUS2_tot,IUS3_tot,S1_tot,S2_tot,S3_tot,filter_MV,S_tot
6,6,6,6,7,6,7,4,7,5,7,7,7,7,7,6,4,7,7,6,7,6,6,7,7,6,7,4,7,7,7,5,7,7,7,7,7,6,7,6,7,6,6,6,6,6,6,6,7,6,7,5,6,5,6,7,7,6,2,2,2,8,3,1,1,37,39,39,37,38,36,21,19,20,17,21,16,112,117,111,1,340
5,5,4,4,5,6,6,6,6,4,6,5,6,6,7,7,6,6,5,5,6,5,6,7,7,6,7,4,6,5,6,6,6,7,7,7,4,4,3,3,3,3,6,4,4,4,6,5,4,3,3,3,3,6,5,6,6,6,1,2,2,4,2,0,1,29,34,20,33,35,29,19,18,10,19,21,12,100,108,71,1,279
5,5,5,5,5,6,6,5,7,6,7,7,6,6,6,6,5,6,6,6,5,5,5,6,6,6,7,5,6,6,6,6,6,6,5,6,1,1,2,2,1,3,2,1,2,2,3,1,1,2,2,1,1,2,5,6.5,6,6,2,2,1,4,2,0,1,31,33,10,38,36,11,18,18,5,17,17,4,104,104,30,1,238
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,5,4,4,4,4,5,6,5,6,5,5,5,5,5,5,5,5,5,7,7,7,7,2,2,2,8,3,1,1,41,41,26,42,40,32,21,21,15,21,21,15,125,123,88,1,336
6,5,5,4,5,6,5,5,4,3,5,4,6,5,5,6,6,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4.5,5,6,2,0,0,0,,,0,31, , ,26, , ,16, , ,16, , ,89, , ,0, 
7,5,4,6,5,6,7,6,6,4,6,7,7,6,6,7,6,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.5,6,6,7,2,0,0,0,,,0,33, , ,36, , ,19, , ,20, , ,108, , ,0, 
3,5,4,6,5,6,7,7,5,7,7,6,6,5,7,7,7,6,6,4,5,4,5,5,7,2,6,4,5,5,5,4,5,5,5,5,6,5,7,7,5,7,7,4,7,5,5,6,5,5,6,6,6,7,5,7,6,7,1,2,2,4,2,0,1,29,29,37,39,29,34,18,14,16,20,15,19,106,87,106,1,299
7,6,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,7,7,6,7,6,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,6,7,7,2,2,2,8,3,1,1,41,36,40,38,34,39,21,18,21,21,19,21,121,107,121,1,349
7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,8,3,1,1,41,41,41,42,42,42,21,21,21,21,21,21,125,125,125,1,375
7,6,6,7,7,7,7,4,5,4,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,4,5,5,7,7,6,7,7,7,7,7,7,6,6,7,7,7,7,4,5,4,7,7,7,7,7,7,7,7,7,5.5,7,7,2,2,2,8,3,1,1,40,40,40,33,35,34,21,20,21,21,21,21,115,116,116,1,347
